,number,name,voltage_l
0,17,Щегловская,6
25,20,Барсуки,6
39,21,Подземгаз,6
71,24,Рудаково,6
101,26,Липки,6
116,27,Иваньково,10
128,31,Ломинцево,6
139,36,Гурово,6
150,41,Перекоп,6
190,46,Труново,10
199,49,Криволучье,6
234,52,Медвенка,6
242,53,Синетулица,6
246,61,Сухотино,6
256,64,Кировская,6
272,75,Ясногорск,6
292,77,Болоховская,6
308,86,Малахово,6
323,88,Ясенки,6
338,89,Огаревка,6
350,92,Маслово,6
360,145,Октябрьская,6
399,149,Мясново,6
434,155,Хрипково,6
438,164,Электропривод,6
449,183,Пушкинская,10
465,184,Малиновская,6
481,192,Алимкин,6
490,202,Пролетарская,6
517,212,Борисово,10
523,213,Рождественская,6
536,217,Алексеевская,10
542,218,Южная,10
595,219,Центральная,10
623,220,Карамышево,6
630,239,Оленьково,10
642,240,Красный Яр,10
653,241,Мыза,6
661,243,Привокзальная,6
712,254,Шатск,6
722,262,Дмитриевская,10
730,278,Алешня,10
742,279,Гайково,10
758,281,Варфоломеево,10
766,287,Ботня,6
771,295,Калмыки,10
778,296,Зыбино,10
786,302,Рассвет,10
804,303,Авангард,10
809,304,Глушанки,10
821,306,Тесницкая,6
828,307,Плотина,10
831,321,Заокская,10
842,322,Яковлево,10
863,344,Средняя,6
873,345,Санталово,6
881,363,Временная,6
886,369,Непрейка,6
894,370,Тулица,6
918,371,Никулинская,10
930,378,Гагаринская,6
939,381,Ненашево,10
947,384,Советская,6
957,385,Обидимо,6
964,386,Мелиоративная,6
972,404,Ратово,6
977,406,Крушма,10
980,407,Глебово,10
982,433,Стечкин,10
999,999,РП Китаевка,10
